outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
9,10.1149/1.1390879,10,4,0.008902008905090615,0.01277119536079592,0.01705167040874654
9,10.1149/1.1390879,11,4,0.010587620221222194,0.012228854268408538,0.01420611655313852
9,10.1149/1.1390879,12,4,0.011255069744847473,0.01551131068498946,0.021372287578316187
9,10.1149/1.1390879,13,4,0.006780683853289376,0.007586114187233099,0.008093329299182174
9,10.1149/1.1390879,14,4,0.014810671378462703,0.01983863542454195,0.026255267314254118
9,10.1149/1.1390879,15,4,0.0075123846558249685,0.009983958091984711,0.01270635661779903
9,10.1149/1.1390879,16,4,0.011138420731313001,0.013220613152420527,0.015568542008276077
9,10.1149/1.1390879,17,4,0.009326077476626508,0.010786051048549593,0.013809873194825946
9,10.1149/1.1390879,18,4,0.008435667565580967,0.009015907349358426,0.009405941032818563
9,10.1149/1.1390879,19,4,0.009757065978376002,0.01171699450219738,0.01362237393761443
10,10.1149/1.1403730,0,4,0.012777431229469125,0.015080120486453123,0.017724968793095708
10,10.1149/1.1403730,1,4,0.013603926680565934,0.01855959410142512,0.023977434473820027
10,10.1149/1.1403730,2,4,0.011785565148804378,0.01826863663229826,0.024186159927691724
10,10.1149/1.1403730,3,4,0.010356052389987288,0.011741408107000416,0.013099958079489714
10,10.1149/1.1403730,4,4,0.010051465174657345,0.012714315282421361,0.01686180353969289
10,10.1149/1.1403730,5,4,0.00781115411709742,0.00868852740891729,0.00916721166604246
10,10.1149/1.1403730,6,4,0.012515810404286442,0.01603317714261233,0.021588910726959967
10,10.1149/1.1403730,7,4,0.011331361234003703,0.015977147085555976,0.02173368497450784
10,10.1149/1.1403730,8,4,0.01011748528398528,0.011727485920827925,0.014708931537098284
10,10.1149/1.1403730,9,4,0.011006685345920232,0.015071480928111178,0.01986991860920068
10,10.1149/1.1403730,10,4,0.01086982088748146,0.012382909113690816,0.014760699039859245
10,10.1149/1.1403730,11,4,0.011200637157785881,0.013983197813493003,0.017138556636871832
10,10.1149/1.1403730,12,4,0.009076777151321097,0.01301929599345788,0.017242810883355428
10,10.1149/1.1403730,13,4,0.006887274079845233,0.010404609507431424,0.013922379978256608
10,10.1149/1.1403730,14,4,0.0084859182342477,0.014123871357207468,0.019605444546983427
10,10.1149/1.1403730,15,4,0.009827914939967793,0.013427215940944301,0.01662609771853145
10,10.1149/1.1403730,16,4,0.009650959550522753,0.012803465874697407,0.01572476083611948
10,10.1149/1.1403730,17,4,0.011576389899388487,0.013307429090276447,0.015315962325304222
10,10.1149/1.1403730,18,4,0.007796719445068478,0.009690581565426628,0.011924813395901644
10,10.1149/1.1403730,19,4,0.012658040120799798,0.01953066396721106,0.02722581621752193
11,10.1149/1.1466857,0,4,0.009399430990257453,0.011997203534804856,0.015258880243371747
11,10.1149/1.1466857,1,4,0.01016640080179237,0.013662200449508255,0.017711294237838012
11,10.1149/1.1466857,2,4,0.008833279659676353,0.013444392548366343,0.018104852012544487
11,10.1149/1.1466857,3,4,0.008970073142817071,0.015205411578123183,0.02275583414382487
11,10.1149/1.1466857,4,4,0.01054002390137867,0.012901736902866836,0.015291092644640236
11,10.1149/1.1466857,5,4,0.010784837618252807,0.013954334085387274,0.018556319623377105
11,10.1149/1.1466857,6,4,0.012250996630009692,0.01488211587443026,0.0184324199479033
11,10.1149/1.1466857,7,4,0.00889755798806699,0.009312724199580387,0.009581178484823507
